variant,scene,metric,metric_label,n,exact_mean,exact_sd,variant_mean,variant_sd,paired_difference_mean,paired_difference_ci95,delta_vs_exact,delta_unit,better_direction
noise05,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9936526999999999,0.0023902861334995137,-1.6549999999998512e-05,0.0008591834520629077,-0.0016550000000004061,pp,higher
noise05,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,41.0604,5.552085311417969,1.5737000000000005,2.1136534378640524,3.9853925498965532,%,lower
noise05,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,76.68719999999999,8.474010556121769,3.15,4.137540594933179,4.283546286777293,%,lower
noise05,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,140636.8792,18406.655535786573,-3576.995199999999,10562.006074404802,-2.4803405462075325,%,lower
noise05,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2189227.6,48126.21000463808,120886.3,20025.619884176074,5.844601178731964,%,lower
noise05,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,72.3,11.621667603865498,2.9,3.176040434582857,4.178674351585002,%,lower
noise05,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6517.4,63.96824870281555,11.55,22.731141722315662,0.17753252841672143,%,lower
noise05,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7460139499999999,0.012932853254914733,0.0030419000000000084,0.008601215071909647,0.3041899999999931,pp,higher
noise05,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,157.17515,53.73681060627073,-34.20479999999999,73.25910571193323,-17.87271864163409,%,lower
noise05,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,180.3488,24.853438575185656,5.8768,14.141931426603605,3.3683341739648784,%,lower
noise05,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,184781.35,20265.488260777474,-9619.3484,16874.415934739147,-4.948206708705934,%,lower
noise05,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,740436.1,24878.728531777797,767.0,15598.900529341905,0.10369501713671694,%,lower
noise05,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,959.6,185.43161599502474,31.2,100.01860077952868,3.3606204222318015,%,lower
noise05,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7758.4,680.1502465593443,-120.2,521.7556620536596,-1.5256517655421105,%,lower
noise05,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9939275499999999,0.007630572072607892,0.000792499999999996,0.0015294342002370469,0.07924999999998628,pp,higher
noise05,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,124.13595000000001,11.393486539408569,-0.6493499999999983,1.6868098135088274,-0.5203737940286222,%,lower
noise05,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,165.37920000000003,14.531242948973956,-0.04519999999999911,2.9877732841060225,-0.02732365962941025,%,lower
noise05,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,156443.28399999999,35401.583055742456,2165.0140000000006,19807.10050422601,1.4033175248853877,%,lower
noise05,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,717563.4,14512.870663111778,9382.6,7469.973347471596,1.324887655807666,%,lower
noise05,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,184.25,139.0345943319598,3.15,86.9708801248108,1.7393705135284405,%,lower
noise05,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3339.15,166.1008808874262,-28.1,115.50353250100417,-0.8345088722251068,%,lower
noise10,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9927583500000001,0.0031610441192245556,-0.0009108999999999978,0.0015565103171170328,-0.09108999999998257,pp,higher
noise10,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,41.3772,5.731466163116325,1.8905000000000007,2.713213745796476,4.787688006341384,%,lower
noise10,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,75.68879999999999,7.020946896702452,2.1516000000000006,3.4601129270216484,2.9258660922634907,%,lower
noise10,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,137826.634,17320.98366683723,-6387.240399999999,10323.288423450065,-4.429005479933219,%,lower
noise10,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2289230.55,62456.22988476347,220889.25,27557.096734139905,10.679535819354367,%,lower
noise10,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,79.0,12.843183733835339,9.6,3.5331541298481666,13.83285302593659,%,lower
noise10,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6525.85,48.664560757128086,20.0,15.963696709458585,0.3074156336220478,%,lower
noise10,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7484733,0.01999397651162392,0.005501250000000008,0.0065382602691579665,0.5501250000000013,pp,higher
noise10,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,171.7784,99.38615603657439,-19.601549999999996,91.67260079458914,-10.242217118355398,%,lower
noise10,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,184.1372,28.833388047083265,9.665199999999999,16.146179280040368,5.5396854509606115,%,lower
noise10,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,191721.0264,22468.43156580857,-2679.672,14861.01024743479,-1.3784271466382714,%,lower
noise10,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,755184.65,35231.42121560032,15515.55,21797.042590432207,2.0976339284688312,%,lower
noise10,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,861.3,114.95999304105756,-67.1,100.05683049989246,-7.22748815165877,%,lower
noise10,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7430.55,595.7332920553945,-448.05,680.4007793768549,-5.686924072804815,%,lower
noise10,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9946851499999999,0.0074312435686307654,0.0015500999999999987,0.002056410110293443,0.15500999999998877,pp,higher
noise10,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,124.13185000000001,10.830306426510068,-0.6534500000000009,1.2798711807989855,-0.5236594374497575,%,lower
noise10,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,164.4824,15.604306039983763,-0.9419999999999981,3.817791803669816,-0.5694444108607963,%,lower
noise10,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,142148.134,34642.49407314512,-12130.135999999999,19380.59068609223,-7.862504551029772,%,lower
noise10,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,730800.55,21241.61002539715,22619.75,9810.646217770987,3.194064284148906,%,lower
noise10,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,197.35,163.91116817542232,16.25,100.30688598391176,8.972943125345113,%,lower
noise10,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3371.05,238.0834605984345,3.8,140.7597483613012,0.11285173361051844,%,lower
noise20,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9930540499999999,0.0035517243473380204,-0.0006151999999999991,0.0014653148431668372,-0.061520000000003794,pp,higher
noise20,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,41.2753,5.157366628119637,1.7886000000000006,3.3440248452897214,4.529626431178099,%,lower
noise20,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,77.0372,7.990156586305691,3.5,3.549272496246905,4.759495874197005,%,lower
noise20,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,155519.1412,15688.011763582861,11305.266800000001,11271.403727443248,7.839236583189676,%,lower
noise20,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2496362.0,113278.87876758892,428020.7,48391.554230757516,20.693910622971167,%,lower
noise20,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,80.95,13.736141341270788,11.55,4.591050768385679,16.642651296829968,%,lower
noise20,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6563.0,114.16193484879736,57.15,49.48701752347196,0.8784401730749961,%,lower
noise20,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7446737999999999,0.02175427171747873,0.0017017499999999962,0.006083515060363243,0.17017499999999464,pp,higher
noise20,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,185.83805,105.52408971289073,-5.541900000000001,58.158985437111625,-2.8957578889533613,%,lower
noise20,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,187.8264,23.95229351154411,13.354399999999998,13.44557577621878,7.654179467192442,%,lower
noise20,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,199587.5764,26840.530295960692,5186.8780000000015,16046.607436000715,2.6681375338104223,%,lower
noise20,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,821248.1,49252.26304594915,81579.0,25580.71849885049,11.029120994779964,%,lower
noise20,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,957.55,164.05662533341794,29.15,118.82202699482066,3.139810426540282,%,lower
noise20,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,8031.2,880.1619229018692,152.6,733.8309019580952,1.9368923412789003,%,lower
noise20,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9939275499999999,0.007630572072607892,0.000792499999999996,0.0034198691974241598,0.07924999999998628,pp,higher
noise20,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,124.8886,10.94601708096795,0.10329999999999942,1.5389633297997103,0.0827821866838403,%,lower
noise20,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,165.4292,15.862380207668446,0.004800000000001603,3.863773716126271,0.0029016275712584194,%,lower
noise20,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,141983.446,29532.278898706503,-12294.823999999999,20708.74855773199,-7.969251923812728,%,lower
noise20,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,762889.35,26990.99530208859,54708.55,11341.911465714084,7.725223558729624,%,lower
noise20,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,297.1,270.1069768580005,116.0,129.6741719200778,64.05300938707899,%,lower
noise20,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3503.5,424.72325354901767,136.25,203.17229191268336,4.046328606429579,%,lower
noise30,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9930576500000001,0.002951080021298167,-0.0006115999999999899,0.0011835616237011518,-0.06115999999998234,pp,higher
noise30,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,42.60765,6.012003731789647,3.1209500000000014,2.6629296243608724,7.903800520175149,%,lower
noise30,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,79.592,10.077854408240091,6.054800000000002,4.278223121755696,8.233655891168008,%,lower
noise30,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,151029.10559999998,15796.145596051976,6815.2312,9407.23726564285,4.725780531418813,%,lower
noise30,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2704876.6,157918.50700828675,636535.3,67203.83864716225,30.775157852333173,%,lower
noise30,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,83.5,16.10982047663703,14.1,5.1893752995905,20.31700288184437,%,lower
noise30,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6560.0,83.80051500909451,54.15,26.981641520817348,0.8323278280316889,%,lower
noise30,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7444407,0.022287601422504435,0.001468649999999999,0.006386524409759756,0.14686499999999603,pp,higher
noise30,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,143.70345,30.89268989408506,-47.6765,76.08989170744535,-24.911961780740356,%,lower
noise30,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,184.9588,25.392935780189774,10.486799999999999,15.118141279134214,6.010591957448753,%,lower
noise30,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,204694.8516,28109.20224037157,10294.153200000004,15159.364770386643,5.295327272342763,%,lower
noise30,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,851205.0,41175.45377629991,111535.9,24515.49371298368,15.079161749490417,%,lower
noise30,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,923.35,132.73490597110427,-5.05,113.97454993757898,-0.543946574752257,%,lower
noise30,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7595.05,540.3335690011066,-283.55,691.1508692058485,-3.598989668215167,%,lower
noise30,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9916314999999999,0.009191613062145875,-0.001503549999999998,0.0042809574738294975,-0.15035500000001312,pp,higher
noise30,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,122.34259999999999,15.47399202533076,-2.4427,5.043211652091384,-1.95752224019978,%,lower
noise30,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,162.7808,19.688511535517627,-2.6435999999999993,6.856150927910929,-1.5980713848743113,%,lower
noise30,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,151841.134,39694.71438269438,-2437.1359999999995,22944.147897680217,-1.5797014057780132,%,lower
noise30,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,802083.9,31794.446078885507,93903.1,12772.164863399634,13.259763608389267,%,lower
noise30,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,192.55,132.8178313171446,11.45,86.26185673987389,6.3224737713970285,%,lower
noise30,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3348.75,188.3420390784026,-18.5,118.66113448764398,-0.5494097557353924,%,lower
hop,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9921504499999999,0.00444275369177602,-0.0015188000000000035,0.001694438102353767,-0.15188000000000423,pp,higher
hop,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,69.655,72.17373523001723,30.1683,31.25532079234801,76.4011679882087,%,lower
hop,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,188.9832,287.67563635704636,115.446,126.00363100548384,156.98993162644214,%,lower
hop,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,149289.5912,21409.113546486118,5075.7168,11560.714384769914,3.519575922301131,%,lower
hop,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,1520138.7,431197.2531677109,-548202.6,185044.41804501732,-26.504455526754704,%,lower
hop,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,1656.25,4054.8954542302126,1586.85,1774.6170120137558,2286.5273775216137,%,lower
hop,Disturbance,control,Control messages,20,6505.85,38.87940193388836,8960.55,6207.676906566238,2454.7,2713.260293005601,37.730657792602024,%,lower
hop,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.74163185,0.021085969953290117,-0.0013402000000000025,0.007018783475655575,-0.13402000000000136,pp,higher
hop,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,156.85944999999998,70.29780674985155,-34.5205,80.74885149451056,-18.03767845064231,%,lower
hop,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,187.0856,19.243908757127063,12.6136,11.093723444684208,7.229584116649085,%,lower
hop,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,196688.9524,26470.340579817952,2288.254000000001,19338.927432128836,1.1770811621734458,%,lower
hop,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,402991.05,12534.039280358864,-336678.05,14951.595167785656,-45.517387437166164,%,lower
hop,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,822.6,92.01224174847033,-105.8,108.71047166332762,-11.395950021542435,%,lower
hop,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7136.6,566.5366992339926,-742.0,688.701484953272,-9.417916888787348,%,lower
hop,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.99240075,0.009217246054486532,-0.0007342999999999988,0.004035066298369413,-0.07342999999999655,pp,higher
hop,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,123.91310000000001,11.46456027526844,-0.8721999999999988,1.42214912410049,-0.6989605346142472,%,lower
hop,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,164.9776,15.60513288835305,-0.4467999999999989,3.55527083067629,-0.27009316642528214,%,lower
hop,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,151276.696,36660.94146412121,-3001.5739999999996,21491.946739408628,-1.9455585028273867,%,lower
hop,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,401065.05,9410.942687134288,-307115.75,7136.3188187098685,-43.366856316917946,%,lower
hop,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,237.3,203.80901792971204,56.2,105.60961162796937,31.032578685808957,%,lower
hop,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3427.3,308.6275391061803,60.05,147.97965670925674,1.7833543692924547,%,lower
