platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Baseline,Stable,60,14,1,1.000000,152.929,-1.000,1243849,66
rpl-lite,Baseline,Stable,60,15,1,1.000000,149.363,-1.000,1248055,62
rpl-lite,Baseline,Stable,60,16,1,1.000000,145.789,-1.000,1239781,60
rpl-lite,Baseline,Stable,60,17,1,1.000000,155.910,-1.000,1245157,62
rpl-lite,Baseline,Stable,60,18,1,1.000000,138.692,-1.000,1245807,65
rpl-lite,Baseline,Stable,60,19,1,1.000000,155.563,-1.000,1240948,60
rpl-lite,Baseline,Stable,60,20,1,1.000000,149.354,-1.000,1229646,64
rpl-lite,Full,Disturbance,20,1,1,0.987879,46.781,145155.984,357797,22
rpl-lite,Full,Disturbance,20,2,1,0.987952,45.509,133694.984,357901,20
rpl-lite,Full,Disturbance,20,3,1,0.993976,42.173,168375.984,356350,25
rpl-lite,Full,Disturbance,20,4,1,0.987879,37.573,145480.984,366309,27
rpl-lite,Full,Disturbance,20,5,1,0.993939,38.162,140194.984,357560,25
rpl-lite,Full,Disturbance,20,6,1,0.987879,40.471,150759.984,359821,41
rpl-lite,Full,Disturbance,20,7,1,0.987879,46.813,156277.984,356970,23
rpl-lite,Full,Disturbance,20,8,1,0.993976,45.210,144670.224,358154,24
rpl-lite,Full,Disturbance,20,9,1,0.993976,38.237,147493.984,357051,21
rpl-lite,Full,Disturbance,20,10,1,0.993976,37.055,125425.984,354944,24
rpl-lite,Full,Disturbance,20,11,1,0.993976,36.844,138734.984,357324,24
rpl-lite,Full,Disturbance,20,12,1,0.993976,37.613,126251.984,356789,21
rpl-lite,Full,Disturbance,20,13,1,0.993976,36.908,163931.984,356786,21
rpl-lite,Full,Disturbance,20,14,1,0.993939,40.344,123441.984,353417,26
rpl-lite,Full,Disturbance,20,15,1,0.987952,39.060,179090.984,356023,29
rpl-lite,Full,Disturbance,20,16,1,0.993976,37.663,177756.984,355731,22
rpl-lite,Full,Disturbance,20,17,1,0.993976,33.480,154586.936,354492,25
rpl-lite,Full,Disturbance,20,18,1,0.987879,48.844,174078.984,357491,20
rpl-lite,Full,Disturbance,20,19,1,0.993976,36.732,146566.984,354559,24
rpl-lite,Full,Disturbance,20,20,1,0.987952,47.516,121883.984,357447,20
rpl-lite,Full,Disturbance,40,1,1,0.993976,39.707,125828.984,2059326,63
rpl-lite,Full,Disturbance,40,2,1,0.993976,36.380,145688.936,2061435,63
rpl-lite,Full,Disturbance,40,3,1,0.993976,38.315,135089.936,2052753,71
rpl-lite,Full,Disturbance,40,4,1,0.993976,35.831,124882.984,2088796,78
rpl-lite,Full,Disturbance,40,5,1,0.993976,38.349,160246.936,2059530,87
rpl-lite,Full,Disturbance,40,6,1,0.987952,49.259,129276.984,2132923,98
rpl-lite,Full,Disturbance,40,7,1,0.993939,36.763,144336.984,2056638,77
rpl-lite,Full,Disturbance,40,8,1,0.993976,38.324,144698.984,2096687,75
rpl-lite,Full,Disturbance,40,9,1,0.993976,36.130,173567.984,2051855,73
rpl-lite,Full,Disturbance,40,10,1,0.993976,35.787,139229.984,2071306,63
rpl-lite,Full,Disturbance,40,11,1,0.993976,34.852,173460.984,2064292,65
rpl-lite,Full,Disturbance,40,12,1,0.993939,47.288,123850.936,2060095,62
rpl-lite,Full,Disturbance,40,13,1,0.993976,35.997,124249.984,2061619,64
rpl-lite,Full,Disturbance,40,14,1,0.993939,37.852,153756.984,2065357,60
rpl-lite,Full,Disturbance,40,15,1,0.993976,39.799,177793.984,2068579,58
rpl-lite,Full,Disturbance,40,16,1,0.987952,39.303,133016.984,2056512,62
rpl-lite,Full,Disturbance,40,17,1,0.993976,35.901,122612.984,2052341,61
rpl-lite,Full,Disturbance,40,18,1,0.993976,37.046,164362.984,2062526,70
rpl-lite,Full,Disturbance,40,19,1,0.993976,47.228,149247.984,2075293,73
rpl-lite,Full,Disturbance,40,20,1,1.000000,49.623,139074.984,2068963,65
rpl-lite,Full,Disturbance,60,1,1,0.993939,39.501,120820.984,4362971,115
rpl-lite,Full,Disturbance,60,2,1,0.993939,37.608,138226.984,4356952,118
rpl-lite,Full,Disturbance,60,3,1,0.993976,36.630,147051.984,4354752,121
rpl-lite,Full,Disturbance,60,4,1,0.993976,37.064,121172.984,4415435,146
rpl-lite,Full,Disturbance,60,5,1,0.993976,46.505,176850.984,4351369,160
rpl-lite,Full,Disturbance,60,6,1,0.987952,69.639,125851.984,4473197,187
rpl-lite,Full,Disturbance,60,7,1,1.000000,52.048,159029.984,4395595,165
rpl-lite,Full,Disturbance,60,8,1,0.987952,48.002,133135.984,4434375,165
rpl-lite,Full,Disturbance,60,9,1,0.993976,35.730,124392.984,4399840,143
rpl-lite,Full,Disturbance,60,10,1,0.993976,35.207,168282.984,4331187,124
rpl-lite,Full,Disturbance,60,11,1,0.993939,36.295,138819.984,4349289,105
rpl-lite,Full,Disturbance,60,12,1,0.993976,35.245,126280.984,4335954,122
rpl-lite,Full,Disturbance,60,13,1,0.993939,37.264,159070.984,4408868,128
rpl-lite,Full,Disturbance,60,14,1,0.993976,35.934,122210.984,4341614,116
rpl-lite,Full,Disturbance,60,15,1,0.993939,41.361,138679.936,4366637,126
rpl-lite,Full,Disturbance,60,16,1,0.993939,49.557,159787.984,4333483,123
rpl-lite,Full,Disturbance,60,17,1,0.993976,46.292,129321.984,4349073,124
rpl-lite,Full,Disturbance,60,18,1,1.000000,45.477,137912.984,4344942,129
rpl-lite,Full,Disturbance,60,19,1,0.993939,36.362,154319.984,4389821,137
rpl-lite,Full,Disturbance,60,20,1,0.993976,36.120,143359.984,4366331,153
rpl-lite,Full,Root-Loss,20,1,1,0.833333,115.136,201803.984,124161,579
rpl-lite,Full,Root-Loss,20,2,1,0.818182,76.695,197676.984,128761,483
rpl-lite,Full,Root-Loss,20,3,1,0.738462,223.223,193361.240,120496,597
rpl-lite,Full,Root-Loss,20,4,1,0.727273,140.818,249049.496,131396,683
rpl-lite,Full,Root-Loss,20,5,1,0.772727,298.172,190414.984,141333,720
rpl-lite,Full,Root-Loss,20,6,1,0.742424,129.752,175114.984,112830,408
rpl-lite,Full,Root-Loss,20,7,1,0.818182,109.524,204300.984,129028,570
rpl-lite,Full,Root-Loss,20,8,1,0.742424,122.217,162894.984,128149,542
rpl-lite,Full,Root-Loss,20,9,1,0.738462,163.053,208849.496,118730,654
rpl-lite,Full,Root-Loss,20,10,1,0.727273,139.016,272222.496,124122,810
rpl-lite,Full,Root-Loss,20,11,1,0.742424,121.910,203266.224,133740,534
rpl-lite,Full,Root-Loss,20,12,1,0.738462,394.576,277839.496,117892,669
rpl-lite,Full,Root-Loss,20,13,1,0.738462,125.237,228132.984,126370,489
rpl-lite,Full,Root-Loss,20,14,1,0.742424,396.795,230980.240,138630,860
rpl-lite,Full,Root-Loss,20,15,1,0.727273,135.146,180705.240,122371,660
rpl-lite,Full,Root-Loss,20,16,1,0.738462,134.170,206385.984,136442,615
rpl-lite,Full,Root-Loss,20,17,1,0.742424,143.664,217679.240,111531,428
rpl-lite,Full,Root-Loss,20,18,1,0.753846,490.640,177594.984,113478,371
rpl-lite,Full,Root-Loss,20,19,1,0.742424,139.601,170622.240,115386,517
rpl-lite,Full,Root-Loss,20,20,1,0.772727,146.723,165364.984,130505,674
rpl-lite,Full,Root-Loss,40,1,1,0.742424,135.249,179608.984,737556,929
rpl-lite,Full,Root-Loss,40,2,1,0.757576,224.842,213904.496,726220,844
rpl-lite,Full,Root-Loss,40,3,1,0.723077,131.344,164507.984,687997,668
rpl-lite,Full,Root-Loss,40,4,1,0.757576,773.884,166548.480,796664,995
rpl-lite,Full,Root-Loss,40,5,1,0.727273,123.753,172103.984,726723,824
rpl-lite,Full,Root-Loss,40,6,1,0.742424,130.844,184237.240,726285,786
rpl-lite,Full,Root-Loss,40,7,1,0.803030,107.685,184904.984,786185,1013
rpl-lite,Full,Root-Loss,40,8,1,0.742424,125.440,174390.984,769888,907
rpl-lite,Full,Root-Loss,40,9,1,0.742424,130.207,172811.984,733111,885
rpl-lite,Full,Root-Loss,40,10,1,0.753846,133.648,192366.240,713477,917
rpl-lite,Full,Root-Loss,40,11,1,0.727273,125.576,272341.984,727815,940
rpl-lite,Full,Root-Loss,40,12,1,0.769231,566.174,184953.984,739285,866
rpl-lite,Full,Root-Loss,40,13,1,0.742424,131.774,161367.240,683173,635
rpl-lite,Full,Root-Loss,40,14,1,0.712121,130.482,243326.240,779907,1115
rpl-lite,Full,Root-Loss,40,15,1,0.727273,129.873,198429.984,723589,889
rpl-lite,Full,Root-Loss,40,16,1,0.738462,133.332,194136.984,747682,1036
rpl-lite,Full,Root-Loss,40,17,1,0.742424,125.579,183283.984,716066,923
rpl-lite,Full,Root-Loss,40,18,1,0.727273,209.215,225974.984,735797,897
rpl-lite,Full,Root-Loss,40,19,1,0.738462,134.573,209030.240,807368,1670
rpl-lite,Full,Root-Loss,40,20,1,0.742424,124.125,209782.984,728594,829
rpl-lite,Full,Root-Loss,60,1,1,0.742424,111.061,166038.240,3063628,1606
rpl-lite,Full,Root-Loss,60,2,1,0.727273,113.750,219706.496,2971284,1610
rpl-lite,Full,Root-Loss,60,3,1,0.757576,112.622,173769.984,2839335,1320
rpl-lite,Full,Root-Loss,60,4,1,0.738462,117.651,162718.496,3087773,1814
rpl-lite,Full,Root-Loss,60,5,1,0.738462,106.536,206400.240,2919312,1414
rpl-lite,Full,Root-Loss,60,6,1,0.769231,248.914,178137.240,2985955,1932
rpl-lite,Full,Root-Loss,60,7,1,0.707692,114.575,221662.240,2920676,1598
rpl-lite,Full,Root-Loss,60,8,1,0.742424,120.576,161552.240,2889656,1410
rpl-lite,Full,Root-Loss,60,9,1,0.738462,95.742,208729.984,2815710,1646
rpl-lite,Full,Root-Loss,60,10,1,0.742424,118.231,190759.984,2991386,2135
rpl-lite,Full,Root-Loss,60,11,1,0.742424,100.359,196317.984,2920852,2214
rpl-lite,Full,Root-Loss,60,12,1,0.738462,117.260,189369.240,3165971,1661
rpl-lite,Full,Root-Loss,60,13,1,0.727273,106.416,200019.240,2949250,1476
rpl-lite,Full,Root-Loss,60,14,1,0.738462,123.336,202617.496,2865065,1287
rpl-lite,Full,Root-Loss,60,15,1,0.753846,170.788,163942.984,3014245,1626
rpl-lite,Full,Root-Loss,60,16,1,0.757576,183.637,174818.240,2964781,1577
rpl-lite,Full,Root-Loss,60,17,1,0.742424,112.885,215517.984,2962809,1784
rpl-lite,Full,Root-Loss,60,18,1,0.727273,98.373,210780.984,2966890,1885
rpl-lite,Full,Root-Loss,60,19,1,0.742424,124.715,162610.496,2902191,1985
rpl-lite,Full,Root-Loss,60,20,1,0.727273,121.978,196487.240,2916899,1536
rpl-lite,Full,Stable,20,1,1,0.937500,161.112,-1.000,11042,19
rpl-lite,Full,Stable,20,2,1,1.000000,139.151,-1.000,11228,19
rpl-lite,Full,Stable,20,3,1,1.000000,209.214,-1.000,11270,19
rpl-lite,Full,Stable,20,4,1,0.933333,204.392,-1.000,11396,19
rpl-lite,Full,Stable,20,5,1,0.933333,190.821,-1.000,11498,19
rpl-lite,Full,Stable,20,6,1,1.000000,204.692,-1.000,11123,19
rpl-lite,Full,Stable,20,7,1,1.000000,150.744,-1.000,11399,19
rpl-lite,Full,Stable,20,8,1,1.000000,208.089,-1.000,11306,19
rpl-lite,Full,Stable,20,9,1,0.937500,195.140,-1.000,11108,19
rpl-lite,Full,Stable,20,10,1,0.937500,218.712,-1.000,11247,19
rpl-lite,Full,Stable,20,11,1,1.000000,211.589,-1.000,11348,19
rpl-lite,Full,Stable,20,12,1,0.937500,195.031,-1.000,11257,19
rpl-lite,Full,Stable,20,13,1,1.000000,198.852,-1.000,11438,20
rpl-lite,Full,Stable,20,14,1,1.000000,198.854,-1.000,11309,20
rpl-lite,Full,Stable,20,15,1,1.000000,206.789,-1.000,11172,19
rpl-lite,Full,Stable,20,16,1,0.937500,196.831,-1.000,11247,19
rpl-lite,Full,Stable,20,17,1,0.937500,200.098,-1.000,11239,19
rpl-lite,Full,Stable,20,18,1,1.000000,215.110,-1.000,11320,19
rpl-lite,Full,Stable,20,19,1,1.000000,162.590,-1.000,11386,19
rpl-lite,Full,Stable,20,20,1,1.000000,206.479,-1.000,11379,21
rpl-lite,Full,Stable,40,1,1,1.000000,147.779,-1.000,121834,40
rpl-lite,Full,Stable,40,2,1,1.000000,147.296,-1.000,122508,41
rpl-lite,Full,Stable,40,3,1,1.000000,147.992,-1.000,122740,43
rpl-lite,Full,Stable,40,4,1,1.000000,146.151,-1.000,122755,41
rpl-lite,Full,Stable,40,5,1,1.000000,153.852,-1.000,122293,41
rpl-lite,Full,Stable,40,6,1,1.000000,142.740,-1.000,123921,42
rpl-lite,Full,Stable,40,7,1,1.000000,163.524,-1.000,124759,44
rpl-lite,Full,Stable,40,8,1,1.000000,145.242,-1.000,122823,43
rpl-lite,Full,Stable,40,9,1,1.000000,150.429,-1.000,121245,40
rpl-lite,Full,Stable,40,10,1,1.000000,145.089,-1.000,123550,42
rpl-lite,Full,Stable,40,11,1,0.937500,158.898,-1.000,121052,42
rpl-lite,Full,Stable,40,12,1,1.000000,157.516,-1.000,122205,40
rpl-lite,Full,Stable,40,13,1,1.000000,153.589,-1.000,122588,40
rpl-lite,Full,Stable,40,14,1,1.000000,151.429,-1.000,122571,41
rpl-lite,Full,Stable,40,15,1,1.000000,149.229,-1.000,122181,41
rpl-lite,Full,Stable,40,16,1,1.000000,157.102,-1.000,122426,40
rpl-lite,Full,Stable,40,17,1,0.937500,151.098,-1.000,123248,39
rpl-lite,Full,Stable,40,18,1,0.937500,153.179,-1.000,122990,42
rpl-lite,Full,Stable,40,19,1,1.000000,163.163,-1.000,122404,41
rpl-lite,Full,Stable,40,20,1,1.000000,166.742,-1.000,122949,45
rpl-lite,Full,Stable,60,1,1,1.000000,145.910,-1.000,546991,63
rpl-lite,Full,Stable,60,2,1,1.000000,148.726,-1.000,543688,62
rpl-lite,Full,Stable,60,3,1,1.000000,152.477,-1.000,553946,63
rpl-lite,Full,Stable,60,4,1,1.000000,144.326,-1.000,546987,63
rpl-lite,Full,Stable,60,5,1,1.000000,168.276,-1.000,553754,60
rpl-lite,Full,Stable,60,6,1,1.000000,150.602,-1.000,560835,63
rpl-lite,Full,Stable,60,7,1,1.000000,159.163,-1.000,552763,69
rpl-lite,Full,Stable,60,8,1,1.000000,150.427,-1.000,548612,65
rpl-lite,Full,Stable,60,9,1,1.000000,159.363,-1.000,545098,60
rpl-lite,Full,Stable,60,10,1,0.937500,150.647,-1.000,555660,65
rpl-lite,Full,Stable,60,11,1,1.000000,163.729,-1.000,548032,63
rpl-lite,Full,Stable,60,12,1,1.000000,147.964,-1.000,546391,65
rpl-lite,Full,Stable,60,13,1,1.000000,166.214,-1.000,545397,61
rpl-lite,Full,Stable,60,14,1,1.000000,152.929,-1.000,551088,66
rpl-lite,Full,Stable,60,15,1,1.000000,149.363,-1.000,553677,62
rpl-lite,Full,Stable,60,16,1,1.000000,145.789,-1.000,548613,60
rpl-lite,Full,Stable,60,17,1,1.000000,155.910,-1.000,550779,62
rpl-lite,Full,Stable,60,18,1,1.000000,138.692,-1.000,551716,65
rpl-lite,Full,Stable,60,19,1,1.000000,155.563,-1.000,552097,60
rpl-lite,Full,Stable,60,20,1,1.000000,152.317,-1.000,554494,66
